vulnerability_id,app_id,tool,verdict
vuln_xaji0y6d,app_001,spotbugs,
vuln_pbhsahxt,app_001,codeql,
vuln_hv3a3zmf,app_001,semgrep,
vuln_8mdd4v30,app_001,sonarqube,
vuln_t9nt3w5u,app_001,vusc,
vuln_zbikcidk,app_001,llama_plain,
vuln_wnnhj7xv,app_001,llama_react,
vuln_g0fn9xuy,app_001,qwen_plain,
vuln_41ibljh7,app_001,qwen_react,
vuln_5lxo6qji,app_001,claude_plain,
vuln_ujv6oh9s,app_001,claude_react,
vuln_dbdw2pcn,app_002,spotbugs,
vuln_9t84azyt,app_002,codeql,
vuln_jxepq85j,app_002,semgrep,
vuln_sg65kxvf,app_002,sonarqube,
vuln_1t2tala7,app_002,vusc,
vuln_53lc58dr,app_002,llama_plain,
vuln_c11ertj5,app_002,llama_react,
vuln_pht0hl9x,app_002,qwen_plain,
vuln_pseimvih,app_002,qwen_react,
vuln_cwi64ciy,app_002,claude_plain,
vuln_he7ur23g,app_002,claude_react,
vuln_dppq0y9d,app_003,spotbugs,
vuln_om5igqpk,app_003,codeql,
vuln_i7p5tb94,app_003,semgrep,
vuln_874frhoc,app_003,sonarqube,
vuln_n9j2qp89,app_003,vusc,
vuln_uzfk8ut0,app_003,llama_plain,
vuln_cvs4f8cg,app_003,llama_react,
vuln_vyie6ivw,app_003,qwen_plain,
vuln_pvs7hzio,app_003,qwen_react,
vuln_ykl1cq99,app_003,claude_plain,
vuln_chj755nf,app_003,claude_react,
vuln_4zw9xa3k,app_004,spotbugs,
vuln_x7eedtjv,app_004,codeql,
vuln_zhwjr64d,app_004,semgrep,
vuln_pja1wj0t,app_004,sonarqube,
vuln_pac56t4u,app_004,vusc,
vuln_fel6246h,app_004,llama_plain,
vuln_id25owf7,app_004,llama_react,
vuln_5935a0l7,app_004,qwen_plain,
vuln_253j2d54,app_004,qwen_react,
vuln_i3qk2iag,app_004,claude_plain,
vuln_l58kxo9t,app_004,claude_react,
vuln_7e8g8jdp,app_005,spotbugs,
vuln_0lvsnujz,app_005,codeql,
vuln_a7tz0ync,app_005,semgrep,
vuln_xll4zklo,app_005,sonarqube,
vuln_okep7y6w,app_005,vusc,
vuln_ktakpuxq,app_005,llama_plain,
vuln_phr62gds,app_005,llama_react,
vuln_wm31yiha,app_005,qwen_plain,
vuln_ir4cowgz,app_005,qwen_react,
vuln_rixa11dp,app_005,claude_plain,
vuln_g8sbi4q2,app_005,claude_react,
vuln_y9v86wzs,app_006,spotbugs,
vuln_3t60rjiw,app_006,codeql,
vuln_1swjckjl,app_006,semgrep,
vuln_teiyzcot,app_006,sonarqube,
vuln_ohp6vz41,app_006,vusc,
vuln_nam148p0,app_006,llama_plain,
vuln_tvhhpbmy,app_006,llama_react,
vuln_ofqewaou,app_006,qwen_plain,
vuln_axeqbnhl,app_006,qwen_react,
vuln_1n13jcat,app_006,claude_plain,
vuln_9mx2x18h,app_006,claude_react,
vuln_afeyuhz1,app_007,spotbugs,
vuln_gv0e38da,app_007,codeql,
vuln_ly8ozcyw,app_007,semgrep,
